playerID,year,GP,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,fgPct,ftPct,threePct,allNBA,MVP,DPY
alstora01,2001,50,12.0,3.54,0.2,1.24,1.44,2.86,0.64,0.04,0.8,0.84,3.82,1.32,0.58,0.36,1.42,0.54,34.55,62.07,38.03,0,0,0
alstora01,2002,47,20.83,7.79,0.45,1.83,2.28,4.09,0.81,0.32,1.83,2.55,7.13,2.96,1.15,0.79,2.77,1.09,41.49,68.52,39.23,0,0,0
alstora01,2003,82,31.48,10.22,0.32,2.44,2.76,4.54,1.39,0.22,1.56,2.59,9.32,3.5,1.63,1.26,5.29,1.96,37.57,76.87,37.1,0,0,0
alstora01,2004,80,33.96,14.2,0.52,2.96,3.49,6.42,1.48,0.09,2.12,2.65,12.18,5.04,3.22,2.39,4.86,1.74,41.38,74.03,35.73,0,0,0
alstora01,2005,63,38.59,12.08,0.57,3.48,4.05,6.75,1.6,0.24,2.49,3.08,11.71,4.44,2.27,1.57,4.95,1.62,37.94,69.23,32.69,0,0,0
alstora01,2006,82,37.07,13.27,0.35,3.09,3.44,5.41,1.57,0.12,2.07,2.38,12.44,4.67,2.16,1.59,6.45,2.34,37.55,73.45,36.29,0,0,0
alstora01,2007,74,34.15,13.09,0.38,3.14,3.51,5.3,1.32,0.24,2.16,1.88,12.49,4.92,1.85,1.32,5.5,1.93,39.39,71.53,35.14,0,0,0
alstora01,2008,77,31.77,11.69,0.43,2.52,2.95,5.27,1.4,0.13,1.82,1.75,10.65,4.1,2.7,2.03,4.3,1.45,38.54,75.0,33.84,0,0,0
alstora01,2009,52,27.33,8.21,0.25,2.23,2.48,3.38,0.96,0.19,1.83,1.98,8.58,2.98,1.56,1.13,3.23,1.12,34.75,72.84,34.52,0,0,0
alumape01,1998,2,2.5,1.0,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,50.0,,,0,0,0
amaecjo01,1995,28,12.75,2.75,0.46,1.39,1.86,0.32,0.21,0.39,1.21,1.75,2.5,1.04,1.18,0.68,0.0,0.0,41.43,57.58,,0,0,0
amaecjo01,1999,80,21.05,10.45,0.78,2.55,3.32,1.19,0.44,0.46,1.74,2.01,8.75,3.82,3.64,2.79,0.08,0.01,43.71,76.63,16.67,0,0,0
amaecjo01,2000,82,20.85,7.93,0.94,2.33,3.27,0.9,0.34,0.35,1.51,2.13,7.22,2.89,3.4,2.15,0.09,0.0,40.03,63.08,0.0,0,0,0
amaecjo01,2001,54,10.85,3.24,0.96,1.06,2.02,0.54,0.13,0.19,1.02,1.19,3.07,1.0,1.94,1.24,0.0,0.0,32.53,63.81,,0,0,0
amaecjo01,2002,50,9.48,1.98,0.52,1.02,1.54,0.42,0.28,0.14,0.68,1.0,2.36,0.74,1.04,0.5,0.0,0.0,31.36,48.08,,0,0,0
amayaas01,1995,54,20.44,6.28,2.11,3.5,5.61,0.61,0.41,0.19,1.06,2.8,4.67,2.24,2.76,1.8,0.02,0.0,48.02,65.1,0.0,0,0,0
amayaas01,1996,31,4.65,1.29,0.61,1.06,1.68,0.1,0.23,0.1,0.32,0.94,1.29,0.39,0.9,0.48,0.03,0.03,30.0,53.57,100.0,0,0,0
aminual01,2010,81,17.93,5.64,0.93,2.37,3.3,0.74,0.73,0.31,1.27,1.49,5.01,1.98,1.47,1.14,1.77,0.56,39.41,77.31,31.47,0,0,0
aminual01,2011,66,22.38,6.05,1.44,3.23,4.67,1.0,0.89,0.52,1.38,2.06,5.53,2.27,1.73,1.3,0.71,0.2,41.1,75.44,27.66,0,0,0
amundlo01,2006,11,8.09,1.45,1.18,1.36,2.55,0.09,0.09,0.73,0.45,1.36,1.36,0.55,0.91,0.36,0.0,0.0,40.0,40.0,,0,0,0
amundlo01,2007,16,3.94,1.12,0.44,0.31,0.75,0.0,0.06,0.06,0.12,0.81,1.0,0.5,0.44,0.12,0.0,0.0,50.0,28.57,,0,0,0
amundlo01,2008,76,13.68,4.22,1.68,1.87,3.55,0.37,0.42,0.86,0.74,2.03,3.29,1.76,1.58,0.7,0.01,0.0,53.6,44.17,0.0,0,0,0
amundlo01,2009,79,14.78,4.7,1.62,2.76,4.38,0.39,0.3,0.92,0.72,2.14,3.49,1.92,1.56,0.85,0.01,0.0,55.07,54.47,0.0,0,0,0
amundlo01,2010,46,15.02,4.35,1.76,2.26,4.02,0.37,0.3,0.72,0.52,1.89,3.98,1.8,1.89,0.74,0.0,0.0,45.36,39.08,,0,0,0
amundlo01,2011,60,12.55,3.55,1.57,2.13,3.7,0.23,0.45,0.73,0.75,2.08,3.45,1.48,1.37,0.58,0.0,0.0,43.0,42.68,,0,0,0
anderal01,2005,36,15.67,5.75,0.64,1.31,1.94,0.89,0.31,0.11,0.89,1.33,5.03,2.08,1.14,0.92,1.61,0.67,41.44,80.49,41.38,0,0,0
anderal01,2006,17,15.06,5.76,0.65,1.24,1.88,1.24,0.41,0.0,1.29,1.94,4.76,2.18,1.35,1.12,1.18,0.29,45.68,82.61,25.0,0,0,0
anderal01,2011,17,27.12,9.59,0.47,1.53,2.0,1.53,0.29,0.18,1.47,2.12,8.35,3.24,2.0,1.71,3.59,1.41,38.73,85.29,39.34,0,0,0
anderan02,2009,1,15.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,33.33,,,0,0,0
anderch01,2001,24,10.92,3.0,1.58,1.58,3.17,0.29,0.29,1.17,0.54,1.46,3.08,1.04,1.17,0.92,0.17,0.0,33.78,78.57,0.0,0,0,0
anderch01,2002,59,15.37,5.17,1.85,2.8,4.64,0.54,0.51,1.02,1.02,1.53,4.83,1.93,2.37,1.31,0.02,0.0,40.0,55.0,0.0,0,0,0
anderch01,2003,71,14.49,3.42,1.25,2.94,4.2,0.49,0.48,1.61,0.68,1.68,2.86,1.27,1.51,0.89,0.01,0.0,44.33,58.88,0.0,0,0,0
anderch01,2004,67,21.34,7.66,2.04,4.07,6.12,1.06,0.21,1.49,0.96,2.15,5.34,2.85,2.84,1.96,0.04,0.0,53.35,68.95,0.0,0,0,0
anderch01,2005,32,17.81,5.03,1.91,2.94,4.84,0.19,0.25,1.28,0.81,2.62,3.06,1.75,3.22,1.53,0.0,0.0,57.14,47.57,,0,0,0
anderch01,2007,5,6.8,1.2,0.4,1.4,1.8,0.0,0.0,0.8,0.2,1.2,1.4,0.4,0.8,0.4,0.0,0.0,28.57,50.0,,0,0,0
anderch01,2008,71,20.61,6.37,2.3,3.93,6.23,0.44,0.58,2.46,0.97,2.45,4.11,2.25,2.55,1.83,0.14,0.03,54.79,71.82,20.0,0,0,0
anderch01,2009,76,22.26,5.89,1.93,4.42,6.36,0.43,0.55,1.88,0.78,2.25,3.3,1.87,3.11,2.16,0.04,0.0,56.57,69.49,0.0,0,0,0
anderch01,2010,45,16.27,5.56,1.67,3.2,4.87,0.44,0.51,1.29,0.56,1.76,3.04,1.82,3.0,1.91,0.02,0.0,59.85,63.7,0.0,0,0,0
anderch01,2011,32,15.19,5.25,1.5,3.12,4.62,0.19,0.59,1.44,0.53,1.62,3.38,1.84,2.56,1.56,0.0,0.0,54.63,60.98,,0,0,0
anderda03,2009,63,14.14,5.83,0.86,2.44,3.3,0.7,0.24,0.19,0.59,1.89,5.4,2.33,1.06,0.73,1.24,0.43,43.24,68.66,34.62,0,0,0
anderda03,2010,40,9.32,3.35,0.5,1.6,2.1,0.32,0.12,0.22,0.55,1.0,3.02,1.4,0.55,0.35,0.57,0.2,46.28,63.64,34.78,0,0,0
anderde01,1997,66,27.86,11.67,0.83,2.0,2.83,3.44,1.3,0.2,1.94,2.06,8.88,3.62,4.77,4.17,1.27,0.26,40.78,87.3,20.24,0,0,0
anderde01,1998,38,25.74,10.76,0.53,2.34,2.87,3.82,1.26,0.11,2.16,1.92,8.26,3.29,4.34,3.63,1.82,0.55,39.81,83.64,30.43,0,0,0
anderde01,1999,64,34.39,16.88,1.25,2.78,4.03,3.44,1.41,0.17,2.61,2.33,13.44,5.89,4.83,4.23,2.78,0.86,43.84,87.7,30.9,0,0,0
anderde01,2000,82,34.87,15.48,0.91,3.51,4.43,3.67,1.46,0.17,2.01,2.29,12.11,5.04,4.9,4.17,3.09,1.23,41.59,85.07,39.92,0,0,0
anderde01,2001,70,26.57,10.81,0.67,2.03,2.7,3.09,0.97,0.11,1.24,1.61,8.74,3.53,2.97,2.54,3.26,1.21,40.36,85.58,37.28,0,0,0
anderde01,2002,76,33.62,13.91,0.7,2.78,3.47,4.28,1.18,0.21,1.68,1.86,10.95,4.67,3.54,3.04,4.36,1.53,42.67,85.87,35.05,0,0,0
anderde01,2003,51,35.49,13.61,0.51,3.06,3.57,4.47,1.29,0.06,1.76,1.55,12.0,4.51,3.69,3.04,5.08,1.55,37.58,82.45,30.5,0,0,0
anderde01,2004,47,26.36,9.19,0.53,2.19,2.72,3.04,0.77,0.09,1.49,1.89,8.32,3.23,1.85,1.49,3.21,1.23,38.87,80.46,38.41,0,0,0
anderde01,2005,43,24.35,8.12,0.49,2.84,3.33,2.35,0.53,0.14,1.26,2.28,7.05,2.51,2.58,2.16,3.12,0.93,35.64,83.78,29.85,0,0,0
