Player,playerID,pos,GP,minutes,fgMade,fgAttempted,fgPct,threeMade,threeAttempted,threePct,efgPct,ftMade,ftAttempted,ftPct,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,points,allNBA,MVP,DPY
Raymond Felton,feltora01,G,80,21.3,2.8,6.4,0.43,0.6,1.8,0.319,0.475,0.6,0.8,0.781,0.4,2.3,2.7,2.4,0.8,0.3,1,1.6,6.7,0,0,0
Yogi Ferrell,ferreyo01,G,46,26,3.5,8.6,0.406,1.5,3.8,0.386,0.492,1.6,1.9,0.831,0.4,2,2.4,3.7,0.9,0.2,1.5,2,10,0,0,0
Dorian Finney-Smith,finnedo01,F,81,20.3,1.5,4.1,0.372,0.7,2.4,0.293,0.456,0.6,0.8,0.754,0.7,2.1,2.7,0.8,0.6,0.3,0.6,1.5,4.3,0,0,0
Bryn Forbes,forbebr01,G,36,7.9,1,2.8,0.364,0.5,1.5,0.321,0.449,0.1,0.2,0.833,0.1,0.6,0.6,0.6,0,0,0.3,0.6,2.6,0,0,0
Evan Fournier,fournev01,G,68,32.9,6,13.7,0.439,1.9,5.3,0.356,0.508,3.3,4.1,0.805,0.6,2.4,3.1,3,1,0.1,2.1,2.6,17.2,0,0,0
Randy Foye,foyera01,G,69,18.6,1.7,4.7,0.363,1,2.9,0.33,0.466,0.8,0.9,0.857,0.1,2.1,2.2,2,0.5,0.1,1.2,1.4,5.2,0,0,0
Tim Frazier,fraziti01,G,65,23.5,2.5,6.2,0.403,0.6,2,0.313,0.453,1.5,2,0.76,0.5,2.1,2.7,5.2,0.9,0.1,1.6,2,7.1,0,0,0
Channing Frye,fryech01,C,74,18.9,3.2,7,0.458,1.9,4.5,0.409,0.589,0.9,1,0.851,0.5,3.4,3.9,0.6,0.4,0.5,0.7,1.9,9.1,0,0,0
Danilo Gallinari,gallida01,F,63,33.9,5.3,11.9,0.447,2,5.1,0.389,0.531,5.5,6.1,0.902,0.6,4.5,5.2,2.1,0.6,0.2,1.3,1.5,18.2,0,0,0
Langston Galloway,gallola01,G,74,20.2,2.8,7.4,0.38,1.6,4.2,0.39,0.49,0.7,0.9,0.797,0.4,1.7,2.1,1.3,0.6,0.1,0.6,1.3,7.9,0,0,0
Patricio Garino,garinpa01,G,5,8.6,0,1.4,0,0,1,0,0,0,0,,0.2,1.2,1.4,0,0,0,0.6,0.8,0,0,0,0
Marc Gasol,gasolma01,C,74,34.2,7.2,15.7,0.459,1.4,3.6,0.388,0.503,3.8,4.5,0.837,0.8,5.5,6.3,4.6,0.9,1.3,2.2,2.3,19.5,0,0,0
Pau Gasol,gasolpa01,C,64,25.4,4.7,9.4,0.502,0.9,1.6,0.538,0.548,2,2.9,0.707,1.7,6.2,7.8,2.3,0.4,1.1,1.3,1.7,12.4,0,0,0
Rudy Gay,gayru01,F,30,33.8,6.7,14.7,0.455,1.4,3.8,0.372,0.502,3.9,4.6,0.855,1.2,5.2,6.3,2.8,1.5,0.9,2.5,2.6,18.7,0,0,0
Michael Gbinije,gbinimi01,G,9,3.6,0.1,1.1,0.1,0,0.4,0,0.1,0.2,0.2,1,0.2,0.1,0.3,0.2,0,0,0,0.2,0.4,0,0,0
Alonzo Gee,geeal01,F,13,6.8,0.2,1.1,0.214,0,0.2,0,0.214,0.4,0.7,0.556,0.3,0.8,1.2,0.5,0.4,0.1,0.3,1.1,0.8,0,0,0
Paul George,georgpa01,F,75,35.9,8.3,18,0.461,2.6,6.6,0.393,0.534,4.5,5,0.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7,0,0,0
Marcus Georges-Hunt,georgma01,G,5,9.6,0.4,1.4,0.286,0.2,0.4,0.5,0.357,1.8,2,0.9,0.2,1.6,1.8,0.6,0.2,0,0.4,1,2.8,0,0,0
Jonathan Gibson,gibsojo01,G,17,13.6,2.1,5.6,0.368,0.9,2.6,0.333,0.447,1.2,1.7,0.724,0.1,1.2,1.3,1.5,0.5,0,1.2,1.2,6.2,0,0,0
Taj Gibson,gibsota01,F,78,25.5,4.7,9.1,0.515,0,0.2,0.231,0.517,1.4,2,0.715,2,4.2,6.2,0.9,0.5,0.8,1.3,2.1,10.8,0,0,0
Manu Ginobili,ginobma01,G,69,18.7,2.5,6.4,0.39,1.3,3.3,0.392,0.491,1.2,1.6,0.804,0.4,1.9,2.3,2.7,1.2,0.2,1.4,1.7,7.5,0,0,0
Rudy Gobert,goberru01,C,81,33.9,5.1,7.7,0.661,0,0,0,0.661,3.8,5.9,0.653,3.9,8.9,12.8,1.2,0.6,2.6,1.8,3,14,1,0,0
Archie Goodwin,goodwar01,G,15,14.3,2.4,4.4,0.545,0.3,1,0.333,0.583,2.2,2.8,0.786,0.5,1.4,1.9,1.6,0.3,0.3,0.9,0.5,7.3,0,0,0
Aaron Gordon,gordoaa01,F,80,28.7,4.9,10.8,0.454,1,3.3,0.288,0.499,2,2.7,0.719,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,0,0,0
Eric Gordon,gordoer01,G,75,31,5.5,13.5,0.406,3.3,8.8,0.372,0.527,2,2.3,0.84,0.4,2.3,2.7,2.5,0.6,0.5,1.6,2,16.2,0,0,0
Marcin Gortat,gortama01,C,82,31.2,4.8,8.2,0.579,0,0,0,0.579,1.3,1.9,0.648,2.9,7.5,10.4,1.5,0.5,0.7,1.5,2.6,10.8,0,0,0
Treveon Graham,grahatr01,G,27,7,0.7,1.5,0.475,0.3,0.6,0.6,0.588,0.4,0.6,0.667,0.2,0.6,0.8,0.2,0.2,0,0.1,0.7,2.1,0,0,0
Jerami Grant,grantje01,F,80,19.1,1.9,4.1,0.463,0.5,1.5,0.371,0.529,1.1,1.8,0.612,0.5,2.1,2.6,0.6,0.4,1,0.6,1.9,5.5,0,0,0
Jerian Grant,grantje02,G,63,16.3,2,4.8,0.425,0.8,2.1,0.366,0.507,1,1.2,0.89,0.3,1.5,1.8,1.9,0.7,0.1,0.7,1.5,5.9,0,0,0
Danny Green,greenda02,G,68,26.6,2.6,6.6,0.392,1.7,4.6,0.379,0.523,0.4,0.5,0.844,0.5,2.8,3.3,1.8,1,0.8,1.1,1.8,7.3,0,0,0
Draymond Green,greendr01,F,76,32.5,3.6,8.6,0.418,1.1,3.5,0.308,0.481,2,2.8,0.709,1.3,6.6,7.9,7,2,1.4,2.4,2.9,10.2,1,0,1
Gerald Green,greenge01,F,47,11.4,2,4.9,0.409,0.8,2.4,0.351,0.494,0.7,0.9,0.805,0.3,1.4,1.8,0.7,0.2,0.1,0.5,1,5.6,0,0,0
JaMychal Green,greenja01,F,77,27.3,3.2,6.5,0.5,0.7,1.9,0.379,0.555,1.7,2.2,0.802,2.2,4.9,7.1,1.1,0.6,0.4,1.2,3.2,8.9,0,0,0
Jeff Green,greenje02,F,69,22.2,3.2,8.1,0.394,0.8,2.8,0.275,0.442,2.1,2.4,0.863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.5,9.2,0,0,0
Blake Griffin,griffbl01,F,61,34,7.9,15.9,0.493,0.6,1.9,0.336,0.513,5.2,6.9,0.76,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6,0,0,0
Justin Hamilton,hamilju01,C,64,18.4,2.7,5.9,0.459,0.9,2.8,0.306,0.532,0.6,0.8,0.75,1.1,3,4.1,0.9,0.5,0.7,0.7,1.4,6.9,0,0,0
A.J. Hammons,hammoaj01,C,22,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.464,0.4,0.9,0.45,0.4,1.3,1.6,0.2,0,0.6,0.5,1,2.2,0,0,0
Tim Hardaway,hardati02,G,79,27.3,5.3,11.5,0.455,1.9,5.3,0.357,0.537,2.1,2.7,0.766,0.4,2.4,2.8,2.3,0.7,0.2,1.3,1.3,14.5,0,0,0
James Harden,hardeja01,G,81,36.4,8.3,18.9,0.44,3.2,9.3,0.347,0.525,9.2,10.9,0.847,1.2,7,8.1,11.2,1.5,0.5,5.7,2.7,29.1,1,0,0
Maurice Harkless,harklma01,F,77,28.9,4.1,8.1,0.503,0.9,2.5,0.351,0.558,1,1.6,0.621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,10,0,0,0
Justin Harper,harpeju01,F,3,10.3,1.7,4,0.417,0.7,2.3,0.286,0.5,0,0,,0.7,1,1.7,0.7,0,0,1.3,0.7,4,0,0,0
Montrezl Harrell,harremo01,C,58,18.3,3.9,5.9,0.652,0,0.1,0.143,0.654,1.3,2.1,0.628,1.4,2.4,3.8,1.1,0.3,0.7,0.8,2.2,9.1,0,0,0
